,rain,temperature,length
101,No,67.94603296100095,10.385938832661282
102,Yes,75.39857269010355,7.438712223673361
103,No,69.6523742331205,9.722619867064864
104,No,94.02356123075606,9.902061945518728
105,No,82.98426235473873,8.832567848674346
106,No,90.33133271356968,10.758912168661732
107,No,105.18853005307619,11.85497713128298
108,Yes,62.67458310032875,7.4862135671071295
109,No,79.13086465939566,10.23419996121668
110,No,81.13176577517164,9.730136153244807
111,Yes,60.294372248669944,7.356960782679922
112,Yes,67.40827116719436,6.811751912044268
113,Yes,68.57867240757162,7.383133775626456
114,No,71.3885635257157,8.770705288521514
115,No,79.44192549350083,11.184567638720273
116,No,67.50533185898963,9.536265524716434
117,No,77.4404283452045,11.709331979807617
118,No,72.44396589201065,8.90532442257611
119,No,67.04710545080927,8.611050392676606
120,No,84.9651029467513,10.783917117268622
121,No,88.11791995405841,9.635995785837544
122,No,66.52725895750275,9.6718672894835
123,No,78.39152144894061,10.735538047078304
124,No,50.516105292660484,10.386085158702468
125,No,82.4569279425808,11.226498050372829
126,Yes,80.22797577902664,7.8295934833673755
127,No,79.7398335333165,9.974848184398267
128,No,106.85353621365837,11.468134062710709
129,No,86.90710161299273,11.981943996070719
130,No,97.66483958382574,11.932030415714193
131,Yes,77.34260622915073,7.648097612148304
132,No,65.72769519223958,9.627341576028186
133,No,80.43580357940307,10.5096310213649
134,No,53.449162966084025,9.352945909947703
135,No,77.43303189306036,9.466181382330534
136,No,62.78159949545744,9.586584207291576
137,No,91.35395380120497,10.059673143420358
138,No,66.98405637541246,9.18814557643374
139,Yes,70.08607639630141,8.111124781844143
140,No,65.07036636324845,9.494719735952968
141,No,78.00292004902515,10.346082029774847
142,No,66.48059592432944,9.357958184595818
143,No,86.29121485616503,10.49716824195756
144,No,72.35891995750505,9.4044507729557
145,Yes,63.04372865221012,7.589498305887972
146,No,77.36656873543298,9.374042515670578
147,No,78.02720402036249,9.280203495992396
148,No,60.376980173791,10.054325420040419
149,No,63.81235369161775,9.766409513783673
150,Yes,72.28130823505333,8.065984849584364
151,No,76.06159408310475,9.027286692218622
152,No,80.7213956375336,9.724334359187626
153,No,66.89083373477574,10.213718750881098
154,No,75.04271548905528,10.577816488965595
155,No,63.97617985569522,9.145795219105494
156,No,71.73590734086227,9.12149336435419
157,No,64.3517316853422,8.995699663483828
158,Yes,74.94088331977103,7.382205934260099
159,Yes,76.55756103586272,6.812214441718249
160,No,64.99030259300136,8.374140026081744
161,No,69.21726866675345,8.618983239148903
162,Yes,67.31103716212976,7.441805772942033
163,Yes,57.368258161846036,7.774779665088092
164,No,61.94144367280785,9.283695379575045
165,No,81.65532680774879,10.113200388359814
166,No,79.65685554335832,10.129994931998228
167,No,65.99932220461888,8.807142721004384
168,No,75.73784424360242,10.687803619192353
169,No,61.27081313155763,9.987974948734948
170,No,97.20490090036517,10.816946575733228
171,No,36.71636081720305,7.500000558963818
172,No,111.19878201597041,11.525719381406995
173,No,60.214286634460095,8.750128300184464
174,Yes,67.49838528367658,7.287869187033409
175,No,86.32760375521195,11.045706602150329
176,No,78.90804127394753,9.597079773007742
177,No,93.8033894969808,9.868988313681184
178,No,70.72433942994745,8.467570720466457
179,No,48.00272965526444,8.388919751799254
180,No,82.07441180594158,8.569030476602645
181,No,97.66272224485498,11.221269360473782
182,No,83.02704504087323,9.383419806669242
183,No,52.97585070810155,7.999729588192828
184,No,59.79644272890185,9.238290861317898
185,No,54.45060483234812,9.043401798335017
186,No,89.42974433789757,10.974453556762848
187,No,64.6759681470542,9.271629949803778
188,No,88.94985873974034,11.293712094306539
189,Yes,80.3954006116685,6.527338456228396
190,Yes,77.68992793908532,8.323168204145396
191,No,55.86145439063026,8.004922366243546
192,No,65.19229409781082,8.937805875295329
193,No,93.01794945556344,9.925693397684476
194,No,93.3697962278661,9.407080801563403
195,No,72.86281476939453,10.1150118931333
196,No,78.25027589105247,9.8599244968392
197,No,84.3690451943823,9.396176578933275
198,No,56.98655719015477,9.344821948244185
199,No,64.36398826305673,9.463204667122358
